1900,000	100,000	0,010
2000,000	100,000	0,020
2100,000	100,000	0,060
2200,000	100,000	0,060
2300,000	100,000	0,020
2400,000	100,000	0,020
2500,000	100,000	0,110
2600,000	100,000	0,090
2700,000	100,000	0,040
2800,000	100,000	0,130
2900,000	100,000	0,210
3000,000	100,000	0,240
3100,000	100,000	0,390
3200,000	100,000	0,600
3300,000	100,000	0,770
3400,000	100,000	0,470
3500,000	100,000	0,830
3600,000	100,000	0,830
3700,000	100,000	0,750
3800,000	100,000	0,740
3900,000	100,000	0,940
4000,000	100,000	0,910
